dim,s,time,sampled,sieved,compared,num_short
26,10,0.137,258,4363,1976522,47
26,100,0.261,250,8796,3848707,50
26,1000,0.395,242,13464,5896499,44
27,10,0.193,283,5316,2793792,47
27,100,0.365,287,10529,5375402,48
27,1000,0.541,262,15887,8036688,50
28,10,0.27,313,6373,3808941,54
28,100,0.497,316,12271,7143313,56
28,1000,0.762,305,18804,11018090,7
29,10,0.348,368,7116,4869059,52
29,100,0.701,356,14749,9951800,57
29,1000,1.063,384,22303,15137931,41
30,10,0.518,412,8761,7025119,60
30,100,1.388,423,17522,13804280,58
30,1000,2.091,423,26537,20743763,54
31,10,0.932,491,10080,9193891,61
31,100,1.979,532,21069,19532771,35
31,1000,2.896,484,31517,28526016,62
32,10,0.999,543,12193,12932783,61
32,100,1.952,558,24520,25479959,62
32,1000,3.018,576,37318,39231780,48
33,10,1.399,647,14501,17803065,65
33,100,2.837,623,29561,36242083,58
33,1000,4.24,669,44159,54177341,3
34,10,1.952,735,16981,24085328,67
34,100,4.036,758,35078,49892292,66
34,1000,5.994,758,52926,74506562,62
35,10,2.679,849,19954,32790789,59
35,100,5.557,887,41640,68327023,68
35,1000,8.248,858,62662,101629844,64
36,10,3.764,976,23627,45013303,1
36,100,7.892,982,49653,94814828,70
36,1000,11.785,964,74500,141623683,69
37,10,5.326,1154,28149,62755740,48
37,100,10.929,1186,58190,129213254,9
37,1000,16.428,1144,88400,194363749,69
38,10,7.539,1264,33676,86701291,69
38,100,15.42,1351,69259,177163933,73
38,1000,23.463,1291,105115,268317255,75
39,10,10.405,1498,39649,117708883,72
39,100,21.278,1480,81592,241703043,15
39,1000,32.11,1518,123778,365140277,74
40,10,14.603,1767,46591,162189245,77
40,100,29.646,1724,96404,330222951,5
40,1000,44.563,1730,146016,496775788,77
41,10,20.971,2011,54915,220061211,13
41,100,43.725,2082,115040,460438206,77
41,1000,65.291,2007,172890,684585979,74
42,10,28.872,2391,65125,307016552,1
42,100,58.076,2359,134364,619557176,1
42,1000,91.086,2302,204627,938966971,77
43,10,39.991,2668,76234,409118807,82
43,100,83.777,2655,161130,863147827,68
43,1000,126.647,2715,244537,1304704498,84
44,10,57.252,3044,90650,568624718,11
44,100,118.603,3058,189786,1178211129,77
44,1000,178.286,3067,286764,1773021796,11
45,10,81.588,3530,107693,787360316,13
45,100,162.873,3525,222260,1592527864,70
45,1000,251.628,3591,339071,2429076059,85
46,10,114.098,4197,127331,1085683990,0
46,100,239.397,4181,264585,2215227321,79
46,1000,358.432,4100,401669,3339129985,87
47,10,160.58,4775,147240,1439394627,10
47,100,328.434,4781,311730,3013822388,93
47,1000,501.12,4822,475558,4603817823,3
48,10,221.147,5517,175720,1994675656,82
48,100,457.92,5609,369014,4153077670,96
48,1000,695.588,5556,562497,6306430872,85
49,10,324.749,6456,207086,2743612546,94
49,100,662.412,6472,434141,5669254217,94
49,1000,1016.812,6462,665401,8664710619,1
50,10,517.455,7481,244955,3750936451,13
50,100,1063.735,7367,514640,7791286033,41
50,1000,1575.126,7349,786528,11907622299,12
20,10,0.025,116,1509,292953,2
20,100,0.039,122,3204,630919,38
20,1000,0.051,109,4585,843776,40
21,10,0.024,130,1741,385796,3
21,100,0.05,134,3806,831720,41
21,1000,0.066,124,5220,1096068,0
22,10,0.037,144,2189,564041,10
22,100,0.071,150,4469,1128981,42
22,1000,0.102,138,6605,1642198,43
23,10,0.051,176,2617,777052,33
23,100,0.091,173,5161,1442952,41
23,1000,0.144,177,7985,2306483,42
24,10,0.071,186,3065,1062417,2
24,100,0.138,185,6311,2101629,14
24,1000,0.197,187,9191,3049845,4
