n, s, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20,
256,1000,8.981589079,1595,29640592,5210.506098,77,43019,909.2428825,34,7292,562.1305168,30,5826,464.9832823,21,3381,1848.877722,14,1362,3528.973357,11,865, 
256,1000,9.360692263,1771,29842718,5053.357244,89,56541,729.0864844,34,8754,557.2570379,28,5542,716.1444046,21,3641,1332.23025,15,1486,3068.252734,11,912, 
256,1000,9.001150846,1687,31735930,5049.942179,79,28428,655.5542347,32,9590,805.3561261,24,4933,413.1344235,26,3815,1631.01299,16,1546,3607.941918,11,877, 
256,1000,9.316571712,1993,32510324,5049.024817,71,36384,597.6719921,32,9278,652.8574114,28,4845,448.7518542,23,3395,1673.36728,14,1625,3907.595156,10,845, 
256,1000,8.932689667,1917,31600156,5000.349083,77,31945,762.6126051,35,7783,563.2335672,28,5561,578.9863477,23,3224,1435.27717,14,1704,4125.789355,13,790, 
256,1000,9.269875526,1777,31438076,4883.602689,75,44681,620.8456881,38,8990,563.0838921,25,4639,651.2207921,22,2943,1906.766446,14,1495,3643.461398,11,821, 
256,1000,9.303496122,1790,31099966,5143.068186,66,30750,805.807965,37,7057,833.435338,25,4844,331.4592941,24,4120,1950.416032,13,1247,4265.065138,11,807, 
256,1000,9.295477629,1761,31620284,5066.981453,87,45573,509.2824914,37,11794,959.2894487,24,3937,467.4917901,23,3489,1891.837935,15,1470,2506.334241,12,968, 
256,1000,9.20622015,1705,31983688,5082.153468,101,49549,801.7797079,34,6421,667.4270151,27,5735,678.5044854,23,3742,1333.321192,14,1674,3056.534251,12,912, 
256,1000,9.343237877,1819,30538419,5053.515312,95,55733,702.3468661,38,9786,486.518816,30,6251,713.993499,21,3671,1515.060091,14,1568,2777.78284,11,952, 
256,1000,9.380068302,1916,30968772,4878.676504,66,27644,682.6687863,34,7792,425.3086107,31,5907,509.3390002,22,4142,1757.147149,16,1555,2297.254655,12,974, 
256,1000,9.463297606,1759,31675872,4994.562715,81,47554,516.995754,39,10551,745.619369,26,5003,605.882443,24,3645,1246.720594,16,1870,3880.445817,11,835, 
256,1000,9.399533272,1754,28246370,5166.793947,83,45293,764.5765991,34,8291,629.394587,29,5230,248.9957457,26,4062,1445.936535,15,1665,2752.595579,11,885, 
512,1,34.27773929,2,23,4410.880086,6,23,1481.745861,5,23,2293.89693,5,23,1386.814334,5,23,6039.146182,5,23,11285.14882,4,23, 
512,1,35.37088203,2,23,3853.874351,5,23,1859.199231,5,23,1523.775868,5,23,2943.773939,5,23,3714.963661,5,23,19759.24219,5,23, 
512,1,34.13545084,2,24,3322.827352,5,24,2480.611531,5,24,1002.065023,5,24,794.2194664,5,24,7529.506855,5,24,16808.43325,5,24, 
512,1,35.57602453,2,23,3613.326584,5,23,1708.06548,5,23,2006.052147,5,23,1340.113089,5,23,6044.746821,5,23,17621.52851,5,23, 
512,1,35.74822474,2,24,4105.958725,5,24,1968.893002,5,24,1667.851388,5,24,2177.090251,6,24,4319.000327,5,24,16139.50372,5,24, 
512,1,34.49397111,2,23,5097.342856,6,23,1519.49156,5,23,2086.851763,5,23,1800.422934,5,23,5537.172116,5,23,16100.82787,4,23, 
512,1,34.90693069,2,24,4047.575289,5,24,1614.224911,5,24,1616.761275,6,24,2341.420795,5,24,6186.229136,5,24,17734.26464,5,24, 
512,1,33.47420573,2,26,5009.053038,5,26,1428.988014,5,26,1401.364396,5,26,2567.697332,5,26,4134.751361,5,26,23206.02468,5,26, 
512,1,35.29568958,1,25,4282.277847,5,25,1308.16411,5,25,1692.209275,5,25,1891.092523,5,25,7059.191065,5,25,16912.03477,5,25, 
512,1,33.89987087,2,24,3511.347848,5,24,1263.32249,5,24,1713.380754,5,24,1450.384497,5,24,5937.41936,5,24,16001.5199,5,24, 
512,1,35.17806768,2,23,5216.912228,5,23,1611.53209,5,23,2820.914016,5,23,805.439882,5,23,7139.085929,5,23,15498.60641,5,23, 
512,1,34.00197697,2,25,3907.276217,5,25,1810.990821,5,25,1385.870284,5,25,2625.52326,5,25,5357.36802,5,25,16423.93787,5,25, 
512,1,34.7587781,2,19,4213.653936,5,19,2152.789989,5,19,1457.593166,5,19,537.07073,6,19,7318.148118,5,19,19489.22491,5,19, 
512,1,34.62295938,1,25,4451.313964,5,25,1015.186947,5,25,1944.230186,5,25,1515.681599,6,25,4672.291372,5,25,18076.32429,5,25, 
512,1,42.74869275,2,24,3280.864528,5,24,1442.24511,5,24,1960.021173,5,24,1346.845973,5,24,5730.576507,5,24,18232.36608,5,24, 
512,1,33.85537815,2,22,4134.596337,5,22,1366.618106,5,22,2328.384168,6,22,1568.380077,5,22,5966.413576,5,22,18363.86311,5,22, 
512,1,35.13300562,2,22,2539.929468,5,22,1848.522227,5,22,1629.077742,5,22,1991.020055,5,22,5350.161546,5,22,19291.48161,5,22, 
512,1,34.71664095,2,24,3101.620454,5,24,1848.731833,5,24,2605.142138,5,24,1797.361197,5,24,4766.676201,5,24,14995.22643,4,24, 
512,1,35.10731602,2,21,3234.922844,5,21,1609.217358,5,21,1271.370785,5,21,1835.565542,5,21,3425.595241,5,21,16867.9788,5,21, 
512,1,35.0038898,2,21,4430.134518,5,21,1402.819723,5,21,1803.883395,5,21,1455.11487,4,21,6853.032434,5,21,17087.98488,5,21, 
512,10,35.86864328,19,6824,36740.86646,69,6824,5056.027861,69,6824,8430.567165,60,6824,6257.426583,64,6824,28309.89056,58,6824,85755.67982,59,6824,
512,10,36.87730122,18,7003,37122.32076,62,7003,7358.81093,63,7003,6483.352368,63,7003,9809.08253,59,7003,23034.47,55,7003,67173.84491,54,7003, 
