n, T, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20 ,
128,100,20.67954278, 24180283497109593194059478135181753887010650995821012580682258274278239184075046939746543701956966010405068091639267644031236255601963401108099522021559134229720179844999948237650398251058351612803181162439405535522119495549029563378211922151304718378471975736171627234652226017555077164902298237370172502763591242120879156829357,331939,33.6586647,6,141,23.08191776,5,71,24.37540483,3,60,18.33384323,3,48,53.18368506,1,1,,,,
128,1,6.778506756, 15778169904592925288038061958226230468071323438324436603371720803409675950143413778632108421605907512770724637071281852118741211096270623935637183779872199941672498348853921978970602007740836516109564223428546085462332626223669119954581066461320547369935999268577918435808697644640,71,8.185590267,4,71,13.07687283,4,71,23.54529715,3,52,20.89497304,3,53,48.62854838,1,1,,,,
128,10,13.34402013,4.07E+205,3543,19.84996343,6,131,24.4887743,4,78,16.0358355,4,59,16.82622671,3,44,59.51582432,1,1,,,,
128,100,20.70121431, 1881671850805574834889382453977202906774024585698442615630603854087297057011997868743900126250908931769592912502718024090758770293631710627211881020880783214114935996210358847887260318674185149704392938995026836159975144222816580406815967741354470020378364199378272962850089347982774378732165467005557864564039874722052827052021056369685375222022499421352957321038348179236649685980225141230235240704462260003822575971828595382372382467688971830913447257225620413387010026591166772305744358489633802244298457667866910716200614733604713318622316901999543760701778183922579685800489279659692172773798839783259253970866643048441133573688238090411429020337266501,340582,32.76385164,6,122,25.12311959,4,66,27.78931975,3,48,13.05061316,3,1,,,,,,,
128,1,27.61426139,3.36E+94,74,7.999544382,5,75,25.83125496,4,65,9.162487268,3,67,28.39435911,3,1,,,,,,,
128,10,13.41374731, 135326495358223698037524149450030915188202478045336471769707041130276768510289277161107678305339637699838919024425340727101524478869271108124372448611772433007719716970525837315230072519636781109709264188224916634367332928172726593977502277360441160845056865005575692963344593797375910694017294951840692600471940578337611173234467186081443793831660138150131588729828992351987125498470957625578863646848052813,3995,20.05143905,6,135,22.81862712,4,65,13.52933764,4,52,17.50958204,3,48,59.82609534,1,1,,,,
128,100,41.47849917, 322406930838390402992559707442937431849068674769339862120330565278536519890284228959615090095298427292815564517413263563144759450568243489904189852724103756463417857501371061392981637176224300240233179908615934595079815638315167403280708826829940939088721711364166197937504981012958036112009793131260116964912451318064774488558017219093550818070847145120681537312877135905740632672765156327276639440838100067444682322128051464427389301396012098122446370703795680448505183068726077340697726302886730410578248559561938098707952750992008596894044916807307945092583833938774341397320042176131696636767819488832945900244129745902690751715369822688170869760127873195,337793,32.69379067,6,122,25.81230497,4,72,23.64055943,3,55,14.37235498,3,58,60.942523,1,1,,,,
128,1,6.817266703,1.90E+186,69,8.129756689,4,69,22.52410436,4,69,15.61458755,4,53,27.79837155,3,44,47.20753455,1,1,,,,
128,10,80.79535174, 22668398150599611645889549898015752507185776252377289179520092988181115637879281638886239019798412219726700971289093632084665237087180517527428360719875834834171381633790063114677215599010666756796794554616568095122166174552258246985259353421941246132811838847426226594855183024989247216167528564748382500343471040658983915224857811722848684545066471918842231874793280736792856961635241824218369969037338438,3583,20.19002247,5,130,20.05551457,4,89,41.91919184,3,53,8.854411602,3,56,58.16743779,1,1,,,,
128,100,20.70992279, 152293487808346742617111192070484355319458029119634792772881948813114558398684892061886834044996115947930053229784017613728092105754992663464011392125040793493497119419207831407015390015987960022107766416362845349209970411183051817704638191720051623487829947045508386782254182016572510831485371391501461103602835975915997604543785,346870,33.8365128,6,145,31.36056519,4,86,33.36164141,3,56,20.23649526,3,44,54.86101246,1,1,,,,
256,1,150.6931627,3.23E+227,153,130.5268588,9,153,287.7861357,8,153,288.4641979,9,153,288.1167071,7,153,878.8509004,8,153,1345.764611,7,153, 
256,10,837.3727534, 1267486987877319575292513724585225960597084158603372912139279832329111875407056793350435929153823230308699157761640605748621992844431212238094930666873215455085969501860464546562468145630594495970323199106398873954737374210611113602652996223513078143659782449572362931840722996532990808830673569247468637885716224819832931014666594639473440560937192104805209655808110681539150242764130529197288585298955931860692660050584435202243607386627974771325717,7912,412.3877938,49,7912,792.7950027,31,7609,532.359694,26,5714,660.5398657,23,3787,1851.200093,13,1684,5196.475202,11,789, 
