n, b, d, L, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t10, max10, lsq10, t20, max20, lsq20 ,
128,1,3,5120,30.88994169,2.9382E+22,6.31609E+40,65.43008375,6,118,22.67392302,4,76,31.09629488,3,57,16.44279552,3,53,58.24764633,1,1,,,,
128,1,3,6400,38.60235906,5.04421E+27,1.17124E+52,81.1986587,5,143,25.69213343,4,74,17.22884178,3,55,24.00881004,3,52,43.02846313,1,1,,,,
128,1,4,1280,7.962067366,1.56491E+13,1.56533E+16,8.248802423,6,139,13.33654833,5,90,23.81150436,4,75,27.78364658,3,1,,,,,,,
128,1,4,2560,16.5969584,4.06005E+23,2.41612E+42,70.69151282,6,136,31.5806601,4,65,9.326200962,4,66,35.00929785,3,52,48.97943664,1,1,,,,
128,1,4,3840,24.99066401,2.21628E+36,3.23215E+67,109.332382,6,149,20.1909399,4,83,21.01239514,3,64,23.62544584,4,62,60.3982408,1,1,,,,
128,1,4,5120,33.40731668,3.47474E+48,8.57445E+90,147.5139635,6,144,30.27935934,3,63,11.20449686,4,56,17.32336593,3,57,58.46922159,1,1,,,,
128,1,4,6400,41.96662211,1.19778E+60,1.6386E+115,189.0987136,5,142,16.88702846,4,93,32.36448932,3,59,17.45760608,3,51,52.60575199,1,1,,,,
256,1,2,2560,38.4769268,39,8,7.126100779,1,1,,,,,,,,,,,,,,,,
256,1,2,5120,94.11752033,2728,45338,184.4743242,89,41151,830.9871435,37,7972,693.379312,27,5094,532.7303114,22,3775,1722.984967,14,1610,3122.93622,10,810, 
256,1,2,7680,164.6159832,88821,112495748,763.2814491,76,27606,665.6829891,36,7976,598.6034369,27,4362,465.6451983,21,3008,1465.66095,14,1532,4259.731267,11,826, 
256,1,2,10240,217.5919757,6734731,18200653337,1662.114014,76,36023,810.7100484,34,8001,507.2392907,26,5468,781.7434368,21,3837,1277.059072,15,1621,4665.89624,11,846, 
256,1,2,12800,291.5579014,784192642,3.01125E+14,2486.145546,71,38273,744.9014261,37,8332,561.2928553,27,5534,720.8933389,21,3488,1619.680005,14,1594,4725.185094,11,882, 
256,1,3,2560,56.83079028,771108,887088553,966.0716789,85,39390,675.4885151,41,9956,771.444062,26,5493,387.8144379,21,3746,1864.649076,14,1547,4083.255208,11,810, 
256,1,3,5120,124.1884851,3.5885E+11,3.4264E+16,4389.595777,86,38713,541.0182793,38,10283,731.4267609,25,4445,693.6368179,23,3486,1457.34569,15,1500,3600.950191,10,853, 
256,1,3,7680,184.950247,1.35569E+17,9.44969E+16,1293.686209,83,44692,681.4250326,36,9161,673.9632123,26,5572,529.3714545,23,3997,1621.319016,15,1558,3561.516264,11,801, 
256,1,3,10240,259.0456877,1.48485E+23,1.45682E+42,1847.92607,72,32815,670.9842834,38,9224,649.1271451,27,5450,554.1689022,25,3711,1791.414593,14,1527,3688.990794,11,924, 
256,1,3,12800,338.1176071,9.98712E+29,2.36765E+54,2478.598147,68,35457,555.5016129,34,6831,573.8146403,27,5850,722.8307669,21,4029,1679.464669,16,1554,3722.080218,12,914, 
256,1,4,2560,65.28589201,8.68657E+12,7.73866E+16,4919.045054,92,52220,856.4627075,34,8645,597.6707406,27,4903,556.8199713,20,3608,1525.159509,14,1441,3501.596318,11,814, 
256,1,4,5120,135.3630919,9.95644E+24,6.92649E+45,2058.56355,87,52411,728.0337417,35,10175,758.3393898,27,5333,529.5665722,20,3368,1915.691924,15,1452,3144.565701,12,882, 
256,1,4,7680,206.3239689,3.39684E+37,4.22303E+68,4130.281296,73,32681,829.1086917,34,8170,783.7116175,25,4789,638.3101943,23,3615,2155.920865,14,1663,3920.590443,13,863, 
256,1,4,10240,282.4466474,1.1189E+49,1.67571E+92,4918.735031,80,45036,571.4620259,40,13372,704.4947288,28,5710,760.2189095,22,3274,1760.479137,15,1428,3123.723004,11,905, 
256,1,4,12800,351.3792567,1.88306E+62,2.7365E+118,7340.472045,87,54063,691.6859088,39,8238,743.6125154,27,5384,765.8801248,23,3564,1526.069233,14,1466,2883.496196,11,999, 
128,1,2,1280,5.489266396,64,25,1.413976192,1,1,,,,,,,,,,,,,,,,
128,1,2,2560,12.50743604,2691,85852,2.515667915,5,129,28.07704616,4,64,21.91596866,3,65,16.89846325,4,54,55.33573222,1,1,,,,
128,1,2,3840,20.13919473,146648,62879585,3.653334618,5,120,29.01806545,4,72,15.49791408,3,61,19.03731918,3,1,,,,,,,
128,1,2,5120,27.14147043,3577937,19178211183,4.537208319,6,115,29.99669075,4,72,34.98551559,4,52,15.70610881,3,51,47.35072374,1,1,,,,
128,1,2,6400,35.86331558,389673582,3.69441E+14,5.514304161,6,181,28.69426131,4,71,35.63510609,3,55,25.44290566,3,36,50.14205241,1,1,,,,
128,1,3,1280,7.110095501,389795,980167457,4.016754627,6,154,18.00191927,4,96,30.83484793,3,53,26.42769384,3,1,,,,,,,
128,1,3,2560,15.23012638,1.03013E+12,3.97295E+17,7.733913898,5,158,36.21827197,4,76,15.81784773,3,65,26.17250133,3,52,48.11163044,1,1,,,,
128,1,3,3840,22.97652698,5.74794E+16,2.64107E+16,47.99550653,6,151,30.17413187,4,73,25.99749041,3,45,17.74302888,3,42,50.0512054,1,1,,,,
128,1,3,5120,31.27179766,3.71265E+22,2.02298E+41,64.92925882,5,116,28.40340233,4,71,20.63326645,4,65,19.64640188,3,56,53.05033898,1,1,,,,
128,1,3,6400,38.90182042,2.99935E+29,5.70765E+53,81.22955775,5,149,24.18597054,4,79,28.54803205,3,55,20.45100904,3,54,59.61446524,1,1,,,,
128,1,4,1280,8.075943708,1.33678E+12,2.27136E+16,8.248546124,6,190,30.47217894,4,84,18.38307905,4,61,30.10288167,3,51,59.78754687,1,1,,,,
128,1,4,2560,16.58712888,1.03927E+24,6.1534E+44,72.16453719,5,145,16.71913052,5,86,24.71565342,3,45,31.86689067,3,1,,,,,,,
128,1,4,3840,25.2134378,1.61765E+36,2.85066E+66,109.1506333,6,159,17.27477264,4,93,25.48971272,4,64,18.8382895,4,1,,,,,,,
128,1,4,5120,33.70941401,3.97449E+49,7.23841E+93,149.0008717,5,89,27.77231526,4,72,31.74737358,3,57,17.39218593,3,55,60.18968749,1,1,,,,
128,1,4,6400,42.83170033,1.11836E+60,7.0057E+114,190.9390869,5,133,28.98710608,3,72,10.9974978,4,66,34.24848104,3,46,50.10492468,1,1,,,,
