n, s, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t6, max6, lsq6, t7, max7, lsq7, t8, max8, lsq8, t9, max9, lsq9, t10, max10, lsq10
128,1000,2.523430824,1765,15236333,10.04223061,6,156,22.05852103,5,86,28.9837656,3,56,6.235442162,3,56,23.5931356,3,1,,,,,,,,,,,,
128,1000,2.488209009,1612,14524384,10.11080146,5,137,22.41029716,4,85,26.31233478,3,66,10.40617156,3,49,19.1858654,3,1,,,,,,,,,,,,
128,1000,2.443945169,1527,13515623,10.10188031,6,133,19.78077626,4,85,21.25316882,4,66,28.55054498,3,1,,,,,,,,,,,,,,,
128,1000,2.475485086,1546,13404851,10.11145639,6,136,20.11262631,4,67,20.2239182,4,51,11.70213509,3,56,19.42547965,3,1,,,,,,,,,,,,
128,1000,2.465019226,1587,14903150,10.0684433,6,103,19.58864284,4,70,16.39659834,3,60,23.36075473,3,50,6.829278946,3,56,39.12769389,3,1,,,,,,,,,
128,1000,2.499140263,1481,13588708,10.12518454,5,147,15.72947383,4,81,25.41425252,4,62,11.18987894,4,56,24.96037292,3,1,,,,,,,,,,,,
128,1000,2.450524807,1591,14410005,10.2036469,4,109,17.63583946,4,78,17.8466053,3,57,25.31513309,3,44,43.96285653,3,1,,,,,,,,,,,,
128,1000,2.495125294,1654,13930906,10.13698959,6,162,27.21444416,4,78,21.67383838,4,66,10.88115907,4,59,18.83786225,3,40,58.81985927,1,1,,,,,,,,,
128,1000,2.44013381,1639,15576415,10.09058166,5,125,15.72231579,4,90,28.11743665,3,58,33.31699276,4,49,4.138340235,3,49,14.67794013,3,1,,,,,,,,,
128,1000,2.529969931,1666,14851592,10.15319705,5,139,31.35448313,4,64,26.09089637,3,60,3.436891317,3,57,16.93684721,3,56,42.32351995,3,1,,,,,,,,,
128,1000,2.465283394,1526,14681801,10.13648367,6,121,24.83432627,4,82,18.75819778,4,60,26.66776633,3,1,,,,,,,,,,,,,,,
128,1000,2.461506367,1532,14675686,10.12490773,5,128,19.36123776,5,78,24.06489301,3,64,11.52816486,4,64,12.33258748,3,44,51.10748005,1,1,,,,,,,,,
128,1000,2.466977835,1550,13826831,10.08519745,5,110,16.72911906,5,77,15.50961018,4,63,4.763504744,3,63,25.44111872,3,47,20.92253685,3,42,28.75186992,3,1,,,,,,
128,1000,2.496760845,1615,13935352,10.04912686,6,112,19.02396607,4,71,26.12576604,3,58,22.18453598,3,48,7.860710621,3,1,,,,,,,,,,,,
128,1000,2.507856369,1601,15179185,10.13553596,6,130,24.46854568,4,83,29.18107581,3,60,2.017951488,4,57,44.56044102,3,1,,,,,,,,,,,,
128,1000,2.492054462,1549,14327087,10.0577693,5,127,31.2544682,4,73,14.13440394,4,61,3.306238413,3,63,42.91611218,3,1,,,,,,,,,,,,
128,1000,4.232471704,1661,15516218,13.19092607,6,131,31.1698966,3,77,15.72753572,3,60,17.8886714,3,46,35.54990101,3,37,14.61737752,3,1,,,,,,,,,
128,1000,2.727214575,1582,14481197,9.907571554,6,123,19.86131191,4,87,19.93542886,3,53,18.96583867,3,54,17.66605544,3,1,,,,,,,,,,,,
128,1000,2.758301735,1754,14060912,10.22557473,6,137,22.75474477,4,72,19.8149569,3,61,29.30944228,3,49,15.41376877,3,49,1.764462709,3,48,48.13503575,1,1,,,,,,
128,1000,2.844388485,1922,13499013,11.14346385,5,132,31.7462759,4,76,8.790483952,3,57,31.05853963,4,1,,,,,,,,,,,,,,,
128,1000,2.780843496,1695,13079641,10.10414267,5,114,20.63710904,4,68,30.80827141,3,1,,,,,,,,,,,,,,,,,,
128,1000,2.751226187,1767,15387187,10.15196109,5,102,27.81987357,4,69,30.86982703,3,53,21.2329247,4,39,0.275457382,4,39,15.26804805,3,42,0.036061525,3,42,48.2727828,1,1,,,
128,1000,3.186180592,1731,14129709,10.4685719,6,153,30.53507304,4,58,15.68200541,4,54,19.93198681,3,51,6.530035973,3,1,,,,,,,,,,,,
128,1000,2.813857079,1916,15137942,10.2706449,5,126,25.21897483,4,64,24.77632737,3,57,14.80769873,3,50,10.60079694,3,46,13.42423344,3,45,21.10580134,3,1,,,,,,
128,1000,2.731124401,1556,13057695,10.07832575,8,146,30.57712603,4,81,22.63058996,3,52,12.05673552,3,55,15.3764255,3,52,21.39414215,3,1,,,,,,,,,
128,1000,2.756776094,1597,12887870,10.15065336,5,131,21.55709934,4,87,24.86001658,4,68,23.45016336,3,53,6.476794004,3,52,12.20451593,3,1,,,,,,,,,
128,1000,2.770375013,1608,13662638,10.0703783,5,125,28.36043763,4,54,4.581571579,3,54,25.96169472,3,46,15.81788206,3,1,,,,,,,,,,,,
128,1000,3.376465321,1628,14856068,10.36088729,6,114,20.48583579,4,87,27.84116864,3,61,4.773394823,3,52,31.60715175,3,1,,,,,,,,,,,,
128,1000,3.369282007,1508,13997177,10.25452971,5,134,17.98548532,4,82,30.46493959,4,48,7.007005692,3,48,7.51879859,3,48,63.6626792,1,1,,,,,,,,,
128,1000,2.771119356,1875,14157431,10.04438162,6,119,18.7723577,4,85,35.3462863,3,56,11.33135676,3,59,23.46855688,3,40,2.354990959,3,40,1.295833349,3,40,52.44946671,1,1,,,
128,1000,2.758203745,1608,15475551,10.1070447,7,190,21.62273955,4,53,28.36590242,4,63,16.57746911,3,53,78.28802371,1,1,,,,,,,,,,,,
128,1000,2.812904119,1706,14975780,10.17682886,5,124,15.95968819,4,82,26.98587179,3,61,27.88791585,4,45,8.933223724,3,40,19.86771107,3,1,,,,,,,,,
128,1000,2.768236637,1788,14581774,10.20651245,5,105,18.46134067,4,85,14.2349875,4,69,21.17282772,4,1,,,,,,,,,,,,,,,
128,1000,2.771358967,1610,14753233,10.06921005,5,153,30.30574512,4,81,15.68721843,3,65,21.42752361,3,52,13.84109926,3,1,,,,,,,,,,,,
128,1000,2.743906021,1752,14404343,10.19880366,5,114,26.41294694,4,64,6.348626614,4,70,41.04881191,3,1,,,,,,,,,,,,,,,
128,1000,2.711328506,1587,14853489,10.12151885,7,219,27.15682697,4,58,19.41278934,4,58,25.00545526,3,54,9.884019375,3,52,29.11190867,3,1,,,,,,,,,
128,1000,2.742220163,1504,14458664,10.15076661,7,151,29.70739365,4,68,14.79608059,3,59,21.94135833,4,1,,,,,,,,,,,,,,,
128,1000,2.75863862,1830,13470022,10.06409669,6,166,31.74043751,4,64,23.7177515,3,44,12.21248102,3,44,20.61067176,3,1,,,,,,,,,,,,
128,1000,2.725235224,1716,13525234,10.05332422,7,152,20.8416996,4,84,29.00826478,3,62,17.90001822,3,1,,,,,,,,,,,,,,,
128,1000,2.749353647,1520,14700432,10.11588478,5,174,25.05500865,4,77,22.52370214,4,45,14.04896832,4,50,25.23443413,3,49,15.20597386,3,1,,,,,,,,,
128,1000,2.756037712,1548,14266870,11.36536574,5,132,27.74495602,3,54,11.14887142,3,54,18.97995901,4,54,16.38376498,3,42,25.28277946,3,1,,,,,,,,,
128,1000,2.805143356,1598,15610393,10.39769125,5,116,12.85040879,4,87,28.49729466,4,61,14.1101017,3,59,34.57340121,3,41,12.31889105,3,1,,,,,,,,,
